,sitc4,exporter,value,rca
16700,422,Areas NES,5935,8.684101510615434
16842,4235,Areas NES,1740,0.7872093749643487
17013,4242,Areas NES,1022,0.30618715752694736
17172,4249,Areas NES,376,0.4815143905379512
17388,4313,Areas NES,602,0.4897195649422713
17501,440,Areas NES,5872,3.635778841971406
17893,488,Areas NES,145,0.23988598428735197
17965,5111,Areas NES,8740,1.3114154238751172
18040,5112,Areas NES,5674,0.4364888258922198
18114,5113,Areas NES,74398,14.838748930223753
18254,5121,Areas NES,5522,0.4257174956520538
18467,5137,Areas NES,704,0.08149406150232999
18530,5138,Areas NES,2896,0.44028618679886516
18594,5139,Areas NES,204,0.04398535991491161
18685,5145,Areas NES,214,0.04809090089761516
18743,5146,Areas NES,330,0.0590661071135093
18804,5147,Areas NES,498,0.12243892188647901
18864,5148,Areas NES,3896,0.14527105105809945
18981,5154,Areas NES,270,0.07339085629181902
19079,5156,Areas NES,486,0.019707552833374182
19388,5169,Areas NES,1320,0.5285694723235064
19479,51AA,Areas NES,344,213.58206512366812
19526,5221,Areas NES,8172,1.8827132605823595
19614,5222,Areas NES,5628,1.7203124493803514
19725,5224,Areas NES,914,0.32437644283184364
19786,5225,Areas NES,11098,1.9109795472473752
19915,5231,Areas NES,1002,0.284396911235503
19992,5232,Areas NES,3316,0.5823648454328351
20072,5233,Areas NES,71032,20.123253261392826
20194,523X,Areas NES,34,3.6622697876416304
20258,5249,Areas NES,1572,2.661827609478799
20302,52XX,Areas NES,256,158.47286630619843
20326,5311,Areas NES,5062,0.6016003506856883
20398,5312,Areas NES,966,1.0566357758798637
20529,5323,Areas NES,1182,2.7765769983088027
20584,5331,Areas NES,4848,0.7976555221563164
20650,5332,Areas NES,410,0.1101960173013173
20706,5334,Areas NES,2844,0.32415804691692035
20791,5335,Areas NES,300,0.06529188203168815
20890,53AA,Areas NES,260,491.0110944824638
20956,5411,Areas NES,1384,0.428233629979365
21007,5413,Areas NES,468,0.06639241892129755
21120,5415,Areas NES,448,0.11258148847338338
21165,5416,Areas NES,744,0.06542981200070049
21246,5417,Areas NES,5756,0.07661629862295961
21357,5419,Areas NES,2568,0.4609990219026484
21454,541X,Areas NES,126,7.136994391571297
21585,545,Areas NES,130,0.07362351518164659
21793,5513,Areas NES,486,0.366063104805943
21882,5514,Areas NES,468,0.07666368836206446
21971,5530,Areas NES,21130,0.967505946658176
22092,5541,Areas NES,308,0.15246552610034236
22176,5542,Areas NES,2730,0.29943767754697026
22355,55XX,Areas NES,106,77.81701289371053
22438,5621,Areas NES,146696,25.240715658991267
22571,5623,Areas NES,5118,1.2741441721533389
22619,5629,Areas NES,1354,0.2455291767898673
22899,5721,Areas NES,488,1.1462175460739648
23036,573,Areas NES,192,0.25416852246609717
23085,574,Areas NES,246,0.47683454419390975
23122,575,Areas NES,150,0.27836738904527464
23248,579,Areas NES,394,0.2442401171027676
23356,5821,Areas NES,232,0.27168168184861624
23460,5823,Areas NES,15884,0.9958066381467202
23545,5824,Areas NES,764,0.16541783573558005
23605,5825,Areas NES,542,0.2548791526749828
23667,5826,Areas NES,2872,1.0571547375823087
23773,5829,Areas NES,1694,0.39546737069511934
23917,5831,Areas NES,7778,0.395329562856133
24016,5832,Areas NES,9728,0.9911918342282263
24099,5833,Areas NES,14214,1.1298913307566003
24165,5834,Areas NES,2054,0.1794053602742129
24270,5836,Areas NES,1328,0.23991021460784095
24422,5839,Areas NES,5638,0.23819527764350332
24538,583X,Areas NES,868,35.220518973413284
24731,585,Areas NES,127,0.11662684083635552
24934,589,Areas NES,122,0.15754251826097487
25019,58XX,Areas NES,270,118.21195606510905
25046,5911,Areas NES,4792,2.1655040818114815
25127,5912,Areas NES,804,0.29304283452217705
25196,5913,Areas NES,4304,1.0835276757508767
25363,5921,Areas NES,2542,2.1069696640912983
25423,5922,Areas NES,3928,0.4855055473440728
25581,5982,Areas NES,18284,4.5744329438611
25644,5983,Areas NES,1148,0.5957507550935862
