,sitc4,exporter,value,rca
49375,7723,Argentina,468,0.008060064928896504
49475,7731,Argentina,116888,0.3795897275067978
49585,7732,Argentina,4370,0.13882401208102474
49686,7741,Argentina,3076,0.05621736120681486
49755,7742,Argentina,1350,0.021669005720337062
49836,7751,Argentina,1618,0.04151378369050217
49894,7752,Argentina,11144,0.2199364217584554
49992,7754,Argentina,10,0.0006860272927318088
50032,7757,Argentina,224,0.003245787707357575
50100,7758,Argentina,3594,0.026808753587728953
50222,7761,Argentina,218,0.002878580855506277
50332,7763,Argentina,230,0.0009562521414446327
50416,7764,Argentina,816,0.00040593355792940475
50643,7781,Argentina,7138,0.04860224917777788
50746,7782,Argentina,9596,0.14826706964671713
50822,7783,Argentina,89096,0.7375231344462545
50901,7784,Argentina,5858,0.10958409202820393
50965,7788,Argentina,12536,0.025647115352058276
51186,7810,Argentina,1396648,0.5567948384653647
51319,7821,Argentina,1151234,2.529599890554352
51411,7822,Argentina,3022,0.11082484305420391
51511,7831,Argentina,139610,2.8206398657067835
51581,7832,Argentina,41218,0.5482648178811707
51652,7841,Argentina,13646,0.7671696948155865
51700,7842,Argentina,3598,0.14118987964388235
51758,7849,Argentina,823432,0.6997149582158886
51892,7851,Argentina,526,0.006528773333674636
51948,7852,Argentina,856,0.03022119885850667
52006,7853,Argentina,5888,0.09875328019237305
52093,7861,Argentina,5906,0.15964032127346325
52177,7868,Argentina,4212,0.10807538782229001
52458,7919,Argentina,8970,0.2633932768522485
52533,7921,Argentina,5446,0.2350724045453691
52615,7923,Argentina,12366,0.12852976730304772
52669,7924,Argentina,170978,0.43402148875183877
52720,7928,Argentina,772,0.08313604687887806
52764,7929,Argentina,6632,0.020127185141381822
52872,7931,Argentina,260,0.02534844418213114
52930,7932,Argentina,23312,0.0966377172230788
53199,7XXX,Argentina,56,0.9554375434208855
53247,811,Argentina,22097,16.401802801179844
53286,812,Argentina,2897,5.103334433902196
53324,8121,Argentina,462,0.014386281712875433
53382,8122,Argentina,5642,0.3993956903528608
53456,8124,Argentina,14812,0.1226582803027154
53581,813,Argentina,704639,46.32093337784088
53653,814,Argentina,3140,1.1199686788162024
53703,819,Argentina,27817,2.1961776556875416
53773,8211,Argentina,367060,1.6605446361911087
53880,8212,Argentina,10344,0.2139040714950877
53974,8219,Argentina,52600,0.1848617013715337
54133,8310,Argentina,3474,0.0214456440410852
54427,8423,Argentina,1542,0.010203229790799587
54653,8429,Argentina,510,0.006862964688226073
54793,8431,Argentina,260,0.005080353575398369
54973,8433,Argentina,1012,0.029989370501403444
55078,8434,Argentina,444,0.012652032782091373
55184,8435,Argentina,442,0.007307445902367619
55295,8439,Argentina,6108,0.02645504087366894
55459,8441,Argentina,5598,0.06062114845128447
55775,8451,Argentina,7412,0.027974541538202707
55898,8452,Argentina,306,0.0136166547366549
56000,8459,Argentina,13454,0.0847264080750754
56158,8462,Argentina,8638,0.04322617345860368
56289,8463,Argentina,678,0.020222788750962988
56399,8465,Argentina,2562,0.05732532295644769
56511,8471,Argentina,894,0.02506246335249519
56607,8472,Argentina,1360,0.03865083429693235
56716,8481,Argentina,25778,0.44787099141424913
56799,8482,Argentina,582,0.0185476844966569
56875,8483,Argentina,19778,2.053698061143612
56940,8484,Argentina,910,0.031388498532325525
57121,8510,Argentina,17486,0.04522928131164379
57251,8710,Argentina,2,1.1558437268270676e-05
57348,8720,Argentina,10282,0.049865656658736664
57459,8731,Argentina,30594,3.980155867979846
57584,8741,Argentina,5406,0.12966930275550387
57689,8742,Argentina,10344,0.07259702137970236
57783,8743,Argentina,55378,0.38969774255205175
57930,8745,Argentina,3636,0.13374817342562506
58008,8748,Argentina,18664,0.09828453587523495
58114,8749,Argentina,4220,0.054626433273466384
58314,8811,Argentina,404,0.005149844403824434
58502,8821,Argentina,6302,0.1671743705522778
58560,8822,Argentina,116876,0.9890087139976105
58651,8830,Argentina,6626,2.3044163459856253
58693,8841,Argentina,2440,0.05538494824178618
58761,8842,Argentina,520,0.012148850531727089
58834,8851,Argentina,452,0.0037037438757070965
58912,8852,Argentina,1820,0.05500903492206373
59023,8921,Argentina,89622,0.9421300059073352
59124,8922,Argentina,81428,2.117227288344308
59195,8924,Argentina,1756,0.18059072315775643
59253,8928,Argentina,30278,0.3836377499468791
59399,8931,Argentina,94862,0.6593018923457431
59504,8932,Argentina,448,0.040091030603049756
59647,8939,Argentina,122170,0.3059413010472898
59859,8942,Argentina,16316,0.04287907649840568
59962,8946,Argentina,2670,0.2623798307325189
60013,8947,Argentina,12726,0.13050904780044362
60136,8951,Argentina,554,0.07804690681823016
60187,8952,Argentina,838,0.023386952493326153
60264,8959,Argentina,314,0.01031180287645039
60356,8960,Argentina,28152,0.2954421938171037
60492,8972,Argentina,692,0.03819763044568453
60563,8973,Argentina,8220,0.056788248515119696
60848,8983,Argentina,23840,0.09542533362499896
60942,8989,Argentina,1002,0.14126463214437468
61073,8993,Argentina,710,0.03215447251679538
61197,8996,Argentina,1642,0.020845107682998618
61270,8997,Argentina,2912,0.09501824394475968
61367,8998,Argentina,12122,0.3837390911970176
61448,8999,Argentina,1780,0.06135357405126515
61698,9000,Argentina,21178,0.04341471427383167
61864,913,Argentina,1770,14.648530595902946
61877,914,Argentina,67571,34.332813846614776
61919,9310,Argentina,957114,1.0224177139417405
62112,9410,Argentina,1030,0.6776376472142899
62170,9510,Argentina,7928,0.5087146608982945
62243,9710,Argentina,2810,0.07219473817885792
62304,980,Argentina,75232,3.235599382109037
2,0011,Australia,403547,4.923831505484637
50,0012,Australia,289383,19.782705034463135
90,0013,Australia,123,0.004547601208180724
119,0014,Australia,387,0.022841643056134644
165,0015,Australia,180178,4.530684678336272
239,0111,Australia,3287212,11.972430072266604
310,0112,Australia,779160,18.81687660245634
363,0113,Australia,136450,0.6649779794022554
414,0114,Australia,29308,0.21214997506977462
478,0115,Australia,21205,3.5547475352232545
504,0116,Australia,264004,6.312246437879832
552,0118,Australia,20324,1.944008245920508
619,011X,Australia,140,6.571417202228065
636,0121,Australia,681,0.024612913028346953
690,0141,Australia,4949,2.3628870745401516
722,0142,Australia,11771,0.5482583061298203
775,0149,Australia,63602,0.7278343732221828
864,0223,Australia,95338,1.1807898189932786
926,0224,Australia,1077594,6.410131783304999
1029,0230,Australia,270961,5.239912066063986
1094,0240,Australia,930928,5.093715518593842
1170,0251,Australia,828,0.0510793133683268
1232,0252,Australia,880,0.19769882633984223
1296,0341,Australia,241078,1.6540692328999307
1416,0342,Australia,249949,1.2178720328348738
1544,0343,Australia,1541,0.04770056721089648
1613,0344,Australia,23192,0.19623085268175688
1740,0350,Australia,10814,0.19812440372021053
1845,0360,Australia,882272,2.146379959828298
1977,0371,Australia,6226,0.05336009960322672
2059,0372,Australia,126144,1.5715901099769498
2169,0411,Australia,890885,13.525334635112586
2206,0412,Australia,3520864,16.320688596674835
2262,0421,Australia,54187,3.1529363733374227
2306,0422,Australia,415162,4.198068471214459
2384,0430,Australia,859039,13.515298058451075
2427,0440,Australia,13472,0.0793374399899168
2496,0451,Australia,1116,0.28803430840737476
2520,0452,Australia,43353,7.420174345139156
2545,0459,Australia,186218,10.601975369252541
2589,0460,Australia,76894,2.5735395975338697
2651,0470,Australia,4055,0.638835433148718
2703,0481,Australia,54280,1.6102124851810566
2770,0482,Australia,201136,7.938355913321401
2806,0483,Australia,35319,0.7606236938349458
2873,0484,Australia,113676,0.791387777537724
2967,0488,Australia,252237,3.5085439689506397
3095,0541,Australia,16066,0.5853519553416408
3159,0542,Australia,299172,6.702324739609139
3242,0544,Australia,8651,0.1505246197329578
3311,0545,Australia,194337,1.0788667417728772
3435,0546,Australia,24522,0.20000201981566143
3529,0548,Australia,7469,0.362751441928643
3647,0561,Australia,1494,0.07120220994969184
3713,0564,Australia,8772,1.0924253831378334
3766,0565,Australia,18092,0.21238372734012434
3877,0571,Australia,124986,2.0060068419338677
3938,0572,Australia,5260,0.17377432026214287
4060,0574,Australia,26073,0.5449520292182707
4119,0575,Australia,61863,0.9025786920863209
4212,0577,Australia,85672,1.063729725546822
4316,0579,Australia,105675,0.6052170357862392
4468,0582,Australia,6789,2.8629137474848556
4505,0583,Australia,5927,0.49746750186478145
4581,0585,Australia,92772,0.7390326494943374
4684,0586,Australia,684,0.027362081830250913
4766,0589,Australia,116695,1.48322625394806
4938,0611,Australia,1055203,11.621516032356848
5019,0612,Australia,118181,1.4529135045220658
5094,0615,Australia,24281,2.5512805952205695
5163,0616,Australia,18178,2.333371546701014
5216,0619,Australia,7553,0.2571121512516828
5289,0620,Australia,53371,0.7143578316981599
5405,0711,Australia,16067,0.08092391287274982
5511,0712,Australia,29656,0.7506437918030038
5669,0722,Australia,310,0.0356112277748897
5777,0730,Australia,195658,1.5910003137615907
5869,0741,Australia,8192,0.16881588604670583
5963,0751,Australia,482,0.018967641515964348
6036,0752,Australia,6432,0.26023709470418793
6180,0811,Australia,321105,10.825120499272943
6239,0812,Australia,3013,0.39428925892831157
6309,0813,Australia,5869,0.03916537229776452
6400,0814,Australia,87215,1.7120268093427258
6471,0819,Australia,445746,2.771636643212513
6585,0913,Australia,338,0.11016613673181376
6612,0914,Australia,59833,2.2877804055990754
6681,0980,Australia,338180,1.1494951916972649
6828,0XXX,Australia,350,1.7764181462019315
6887,11,Australia,176823,25.67467782130653
6926,111,Australia,981864,20.531859181864906
6972,1110,Australia,38532,0.3397584461651798
7062,112,Australia,275940,25.928402926605287
7091,1121,Australia,2039322,6.681018086780839
7163,1122,Australia,24584,3.078439929026158
7202,1123,Australia,51706,0.44949547688452396
7287,1124,Australia,51098,0.20601112546521305
7400,113,Australia,66626,1.8149804245099306
7438,114,Australia,6614,0.2909680873203257
7479,115,Australia,3139,1.9241642387683846
7498,116,Australia,82858,13.817147810692894
7534,118,Australia,9082,2.1839954315539067
7593,12,Australia,11875,9.376275156616169
7613,121,Australia,229,0.05023958634917444
7725,1212,Australia,838,0.007562380421670329
7802,1213,Australia,844,0.2061658580662422
7868,1221,Australia,1028,0.051415674083506516
7914,1222,Australia,27390,0.10706243519670011
8005,1223,Australia,23842,0.7235086519421176
8088,13,Australia,123,0.025484291384162545
8112,14,Australia,387,0.11294896933018755
8142,141,Australia,987,2.031903714744792
8165,142,Australia,359,0.07423379140402701
8200,149,Australia,6696,0.4960001413302935
8247,15,Australia,137432,31.009853340374203
8305,2111,Australia,644038,7.342310541550765
8407,2112,Australia,19298,2.865568068174891
8476,2114,Australia,4708,7.798867424393635
8517,2116,Australia,238632,24.353502703645063
8573,2117,Australia,3750,0.427241024822856
8622,2119,Australia,55276,7.754184379066186
8691,2120,Australia,380,0.015791359643907037
8737,2221,Australia,4936,0.22727396032492406
8786,2222,Australia,5666,0.024343636186493142
8839,2223,Australia,196442,36.114288289498674
8870,2224,Australia,16736,0.8024395318269836
8913,2225,Australia,2090,0.19653964630358273
8972,2226,Australia,861096,16.696026019984266
9023,223,Australia,60546,3.7913132766124935
9076,2232,Australia,416,1.181853607946765
9101,2234,Australia,6,0.0013451475022074931
9127,2238,Australia,17074,2.8607247239181612
9179,2239,Australia,1654,0.4038825875921588
9230,224,Australia,368660,10.893651040783482
9298,230,Australia,56849,4.75129338248522
9341,2320,Australia,1840,0.016708118957837602
9414,2331,Australia,8138,0.0481451984743136
9485,2332,Australia,400,0.12582296461353232
9570,240,Australia,140642,3.2804860281869885
9638,2450,Australia,1846,0.24300355357593117
9705,2460,Australia,1500824,23.647901414785384
9763,2471,Australia,123628,1.1580678700262759
9856,2472,Australia,8720,0.08293792762545005
9965,2481,Australia,6742,1.9267859174026976
10003,2482,Australia,19094,0.04415853933586926
10106,2483,Australia,59724,0.2782535062763712
10256,251,Australia,160,0.030713639422486665
10298,2511,Australia,91544,1.043819707113885
10438,2517,Australia,1708,0.003968621485350678
10497,2518,Australia,532,0.021247659232475336
10543,2519,Australia,308,0.01050463410510313
10604,252,Australia,880,0.706422133495155
10651,2614,Australia,1464,0.7361797759758227
10680,2631,Australia,1727564,11.164249583930907
10782,2632,Australia,14,0.004620172559992811
10820,2633,Australia,1844,0.3374652038380189
10889,2634,Australia,3940,1.7141415380886742
10958,2651,Australia,514,0.04824998469489571
11055,2665,Australia,13536,0.13256780100546714
11119,2666,Australia,562,0.029452883739844893
11168,2667,Australia,2,0.0002824084113897439
11229,2671,Australia,1726,0.037043949083811575
11277,2672,Australia,760,0.181212166261396
11339,2681,Australia,2537396,66.74599611271665
11397,2682,Australia,685104,37.184702179155806
11452,2683,Australia,9268,0.5893678030890628
11512,2686,Australia,33374,13.325576614055157
11552,2687,Australia,40064,5.806223160447955
11589,268X,Australia,314,33.047317170300396
11596,2690,Australia,34098,1.2878226237883394
11692,2711,Australia,2168,0.7651606215064307
11753,2713,Australia,52444,1.960135038934161
11809,2731,Australia,7380,0.1624839266356727
11889,2732,Australia,48874,2.741454938918226
11954,2733,Australia,247930,10.083264262168411
12018,2734,Australia,98,0.003743916502821015
12107,2741,Australia,266,0.01292304444395533
12178,2771,Australia,2232,0.3171740422736257
12212,2772,Australia,10228,0.5567350002994659
12256,2782,Australia,104560,1.2012586498286133
12335,2783,Australia,669540,22.29091790722133
12430,2785,Australia,7586,0.4554042562315836
12490,2786,Australia,10348,0.8363683818330235
12541,2789,Australia,96572,1.7383233762592942
12664,27XX,Australia,44,1.0523476204735795
12686,2814,Australia,574,2.2305230958687168
12698,2815,Australia,6793600,31.796225538652596
12741,2816,Australia,390442,4.5265532477741965
12783,2820,Australia,231500,1.1958922185798797
12905,2860,Australia,579742,77.15585168526673
12916,2871,Australia,785710,5.536078667514929
12974,2872,Australia,1162008,19.068531585680898
13008,2873,Australia,9197290,44.382648080942005
13063,2874,Australia,371976,25.69334080548405
13102,2875,Australia,929446,17.612344010113826
13141,2876,Australia,91844,24.31485863982298
13165,2877,Australia,231854,15.796741100342858
13202,2879,Australia,1423110,23.541440396318016
13285,287X,Australia,20,0.06734854472803369
13297,2881,Australia,121132,2.590369490480417
13387,2882,Australia,149492,0.761400563662713
13538,2890,Australia,31378,0.3491275907286214
13644,2911,Australia,22032,2.9352065335401996
13721,2919,Australia,189778,2.1988296315961486
13931,2924,Australia,15080,0.5676808709191374
14037,2925,Australia,341704,6.128483617622081
14120,2926,Australia,6672,0.07237370822141745
14205,2927,Australia,44656,0.40965861738827536
14294,2929,Australia,98944,1.5378756318937041
14436,2XXX,Australia,532,2.881787869602112
14493,3221,Australia,130586,6.847449281226965
14528,3222,Australia,13464088,29.73329612926088
14604,3224,Australia,648,0.05030506885912069
14646,3231,Australia,5896,3.911742349179871
14664,3232,Australia,53918,0.9869540712738049
14713,323A,Australia,6566,21.3093619347411
14732,3330,Australia,8802146,0.8084869912328895
14832,3341,Australia,1078948,0.9503857952712774
14938,3342,Australia,1074360,2.514483626917395
15030,3343,Australia,510892,0.7355132562635047
15121,3344,Australia,527338,0.6085742286487644
15224,3345,Australia,541270,1.3441365640992704
15325,334A,Australia,208,0.006186268545671584
15401,3351,Australia,8658,0.30550626423806365
15457,3352,Australia,37192,0.46061376876108234
15525,3353,Australia,4614,0.6086570072970964
15564,3354,Australia,2308,0.022726148858390364
15689,341,Australia,28824,1.1741569184022926
15772,3413,Australia,7210844,7.2252698143136564
15859,3414,Australia,590,0.0006413547937730537
15925,342,Australia,5183,0.23058808380590318
16022,343,Australia,1541,0.34618608519700894
16068,344,Australia,13150,0.7686543505450415
16138,350,Australia,6584,0.8182687742911646
16268,360,Australia,262758,9.449523013566843
16372,371,Australia,1486,0.0901115892231935
16446,372,Australia,44560,5.689889640068697
16517,411,Australia,168773,22.21492343721373
16537,4111,Australia,3128,0.41860241027622624
16574,4113,Australia,298176,12.969488321439256
16630,412,Australia,2818176,41.75023895326528
16667,421,Australia,20057,4.133051214568859
16702,422,Australia,232814,14.341640806874047
16742,4232,Australia,4074,0.081274403537751
16795,4233,Australia,19108,13.559141340367
16817,4234,Australia,204,0.042273814149492515
16844,4235,Australia,662,0.012609114231573829
16885,4236,Australia,14264,0.44945460372747437
16935,4239,Australia,27388,0.9595263317173826
16990,4241,Australia,260,0.09636439060513641
17143,4245,Australia,42,0.006627675654036482
17174,4249,Australia,2976,0.16045007833451577
17261,430,Australia,15867,3.8979225102784
17283,4311,Australia,1624,0.2384864750997651
17330,4312,Australia,1972,0.07093173340001675
17390,4313,Australia,36160,1.238411470998661
17454,4314,Australia,2248,1.0356648273047808
17503,440,Australia,2888,0.07528252560176835
17574,452,Australia,20415,29.045043205992464
17593,459,Australia,4798,0.6548230482002256
17619,460,Australia,22678,5.563746982115245
17664,470,Australia,705,0.7119131602976501
17700,481,Australia,14580,1.5072777500876795
17753,482,Australia,41472,6.520337498892663
17776,483,Australia,4437,0.48128568618192813
17824,484,Australia,13492,0.41127057447535587
17895,488,Australia,29939,2.0852577451771954
17967,5111,Australia,32542,0.20556949824152093
18042,5112,Australia,10128,0.0328014522447471
18116,5113,Australia,2566,0.02154657564713634
18169,5114,Australia,48,0.0038233432433076543
18256,5121,Australia,37876,0.12293478465162336
18396,5123,Australia,5004,0.06971298124274983
18469,5137,Australia,12088,0.058910585001514734
18532,5138,Australia,1788,0.011444309594011973
18597,5139,Australia,29880,0.27123401717877643
18687,5145,Australia,304,0.002876128619731
18745,5146,Australia,7784,0.05865605041404802
18806,5147,Australia,2612,0.02703640274370213
18867,5148,Australia,6992,0.010976076636674824
18983,5154,Australia,4120,0.04714775165744149
19037,5155,Australia,8696,0.12777335561721795
19081,5156,Australia,71064,0.12131979279548681
19155,5157,Australia,1722,0.037285264325599886
19226,5161,Australia,5018,0.031488253704463495
19289,5162,Australia,7176,0.07841089467229696
19347,5163,Australia,510,0.02294559476285951
19390,5169,Australia,6652,0.11214139818428488
19528,5221,Australia,121486,1.1783319049651277
19617,5222,Australia,7852,0.1010459973641491
19727,5224,Australia,167976,2.5097815765838867
19788,5225,Australia,174986,1.2685284234040577
19917,5231,Australia,31206,0.37289008730675055
19994,5232,Australia,104786,0.7747640697999156
20074,5233,Australia,5538,0.0660514995919955
20125,5239,Australia,2998,0.07786292492846945
20220,5241,Australia,301676,1.9306511922115266
20260,5249,Australia,204,0.014542635924483502
20328,5311,Australia,23402,0.11709126433272396
20400,5312,Australia,1262,0.058115652746324326
20472,5322,Australia,19764,1.6444307145473538
20531,5323,Australia,1292,0.127773367006974
20586,5331,Australia,486208,3.3679097557642352
20652,5332,Australia,24880,0.2815256684886134
20708,5334,Australia,74116,0.35565160107261085
20793,5335,Australia,43088,0.39480245916685647
20921,541,Australia,10696,2.434808808375461
20958,5411,Australia,14702,0.191516712887014
21009,5413,Australia,15264,0.09116467261788594
21073,5414,Australia,287716,9.400047718404608
21122,5415,Australia,4306,0.04555631406624714
21167,5416,Australia,100172,0.3708810657608379
21248,5417,Australia,1788272,1.0021195599315675
21359,5419,Australia,33392,0.25236725087143863
21440,541A,Australia,842,3.17551137430983
21455,541X,Australia,24,0.05723235710326861
21488,542,Australia,116236,14.44016682892796
21546,544,Australia,3113,0.2116571239207919
21587,545,Australia,84837,2.0227587104152995
21676,546,Australia,3264,0.1387534941016034
21738,548,Australia,2411,1.1262953387378953
21795,5513,Australia,29502,0.9355278676456332
21884,5514,Australia,51094,0.3523703362396408
21974,5530,Australia,257720,0.49680716333771674
22094,5541,Australia,16414,0.34207469610482777
22178,5542,Australia,86296,0.39849240177409984
22262,5543,Australia,4962,0.2489205862098837
22381,561,Australia,110,0.02819029680776018
22440,5621,Australia,39470,0.2859144463317058
22524,5622,Australia,12666,0.9030806242867555
22572,5623,Australia,8742,0.09162514464937242
22621,5629,Australia,39054,0.29815050263791626
22713,564,Australia,178,0.09284313294930142
22746,565,Australia,1818,0.11128735179954347
22820,571,Australia,91362,5.612296774570369
22866,572,Australia,1704,0.3868165905501501
22901,5721,Australia,18478,1.8272070977408645
22957,5722,Australia,12554,1.2775488195868427
22997,5723,Australia,520,0.04313049023858461
23087,574,Australia,13631,1.1123613781473518
23124,575,Australia,37807,2.9538259038665684
23176,577,Australia,45476,2.7882321603825115
23250,579,Australia,56339,1.4703322814152224
23335,582,Australia,4821,8.17504786385347
23358,5821,Australia,1138,0.05610482535016226
23404,5822,Australia,1284,0.046354046581982555
23462,5823,Australia,36764,0.09703389768099747
23547,5824,Australia,3068,0.02796597155739657
23607,5825,Australia,18060,0.35755129444537637
23669,5826,Australia,3892,0.06031322302417499
23725,5827,Australia,3240,0.05197660203187875
23775,5829,Australia,18646,0.18326034966713878
23870,583,Australia,1763,0.59102906014847
23919,5831,Australia,108616,0.23241852406289332
24018,5832,Australia,101126,0.43379302368667144
24101,5833,Australia,65116,0.21791827898756327
24167,5834,Australia,32730,0.12035567179363515
24272,5836,Australia,22808,0.17346962874978014
24334,5837,Australia,930,0.05183307675991569
24385,5838,Australia,382,0.028620314665866887
24424,5839,Australia,88748,0.15785277854320207
24571,5841,Australia,292,0.038065258887884534
24659,5849,Australia,548,0.014416244788830634
24733,585,Australia,11476,0.44368108150704505
24819,5852,Australia,514,0.031252664638994156
24936,589,Australia,33535,1.8231476574875412
25048,5911,Australia,45418,0.8640836424745287
25129,5912,Australia,3404,0.052233627751976514
25198,5913,Australia,67172,0.7119370682872538
25270,5914,Australia,10082,0.44866400401978224
25365,5921,Australia,130608,4.5576198316436765
25425,5922,Australia,194254,1.0108303388970168
25526,5981,Australia,1612,0.06402072897681065
25583,5982,Australia,12302,0.12957683156843727
25646,5983,Australia,7406,0.16180502379692613
25703,5989,Australia,211426,0.23819088974366076
25881,5XXX,Australia,440,2.3633066742981503
25930,611,Australia,417483,39.5601870311847
26017,6113,Australia,28994,1.4874640342474583
26094,6114,Australia,702414,2.8470203778616723
26202,6115,Australia,2656,0.07732885844711196
26281,6116,Australia,36316,1.2041026763714548
26371,6118,Australia,81450,8.348088436621405
26444,612,Australia,19699,1.6242495939761756
26497,6121,Australia,226,0.4663633389541673
26527,6122,Australia,12064,1.1934688244565028
26582,6123,Australia,11096,0.10619495803640862
26664,6129,Australia,14902,0.7863431688478866
26737,6130,Australia,15424,0.6177324410480599
26801,615,Australia,9821,6.144975865365106
26848,616,Australia,8158,4.328938568876641
26888,619,Australia,1949,0.21140469215342342
26955,620,Australia,13509,0.9613214436958306
27026,6210,Australia,31628,0.17804040013862088
27110,6251,Australia,68390,0.2441533239072576
27190,6252,Australia,29186,0.16535361221773798
27265,6253,Australia,232,0.04736866340658741
27287,6254,Australia,212,0.012369794041864083
27334,6259,Australia,17440,0.17922562298844674
27452,6281,Australia,612,0.05734930372541217
27503,6282,Australia,13258,0.2579955804351943
27561,6289,Australia,42028,0.1868773479448116
27713,6330,Australia,5596,0.2076618605753435
27762,6341,Australia,8618,0.1420861746025617
27849,6342,Australia,9844,0.05755446825393006
27942,6343,Australia,23380,0.24237765809546427
28013,6349,Australia,2652,0.7890374496756496
28097,6351,Australia,3576,0.11169009394606216
28162,6352,Australia,1584,0.2029227395572609
28204,6353,Australia,54408,0.28290652614446576
28312,6354,Australia,3130,0.05249393384108202
28407,6359,Australia,4448,0.056824767550565286
28538,6411,Australia,4810,0.02095876457881283
28598,6412,Australia,75538,0.16083565719851603
28677,6413,Australia,163392,0.8958161833996645
28751,6415,Australia,233982,0.5610824125517865
28846,6416,Australia,170602,2.1763565133959113
28914,6417,Australia,23404,0.45531836835074685
28987,6418,Australia,81994,0.25089955501690614
29062,6419,Australia,1480,0.04198407036018515
29164,6421,Australia,44144,0.22602047943279685
29262,6422,Australia,2756,0.18017673473968182
29318,6423,Australia,9046,0.15056606998569894
29394,6424,Australia,29182,0.3949492143135501
29468,6428,Australia,88418,0.37967184955351707
29647,6512,Australia,703128,7.918073386972865
29721,6513,Australia,50040,0.2915020942442396
29822,6514,Australia,19886,0.06118625410065867
29910,6515,Australia,1268,0.40809581113875615
29950,6516,Australia,15052,0.1682656159313721
30024,6517,Australia,628,0.012438667454360742
30089,6519,Australia,4500,0.07371785487227019
30211,6521,Australia,1222,0.014448392890673624
30308,6522,Australia,69468,0.18933412546100856
30440,6531,Australia,22816,0.07055350603554474
30535,6532,Australia,5270,0.09274534745071951
30601,6534,Australia,33434,0.23166548157430622
30687,6535,Australia,258,0.00587334453036776
30753,6536,Australia,2988,0.12396301743603418
30818,6538,Australia,2370,0.05455637371911541
30882,6539,Australia,216,0.012713048266870062
30943,653X,Australia,238,1.1420585658147286
30983,6541,Australia,206,0.0063307412279184055
31028,6542,Australia,8936,0.1373101478350679
31091,6543,Australia,2990,0.09311822682485517
31153,6544,Australia,1184,0.043064114356670034
31226,6546,Australia,1744,0.06461344055176148
31281,6549,Australia,238,0.03312424728842095
31367,6552,Australia,75508,0.2544394370174608
31469,6560,Australia,19784,0.16921058821681706
31550,6571,Australia,5758,0.3756056930836323
31608,6572,Australia,22368,0.20984601803080394
31676,6573,Australia,25654,0.13683029320995438
31755,6575,Australia,5674,0.16548610494358232
31863,6577,Australia,61766,0.8347682746366187
31940,6579,Australia,914,0.15386899310017396
32024,6581,Australia,1040,0.039719776125333145
32112,6582,Australia,9752,0.3959313170266987
32181,6583,Australia,14136,0.6067355811657719
32268,6584,Australia,56024,0.2942776503316388
32373,6589,Australia,12250,0.09986929334256506
32489,6591,Australia,26,0.005590020273909516
32523,6592,Australia,1766,0.0434660389044848
32616,6594,Australia,41060,1.8023110696412041
32675,6595,Australia,29000,0.32749319432652485
32741,6596,Australia,7946,0.23294703735826777
32804,6597,Australia,1430,0.19858427009749932
32890,65XX,Australia,298,1.2542944656433201
32951,6611,Australia,3182,0.5829778503816689
32997,6612,Australia,26354,0.2374282673906216
33080,6613,Australia,2912,0.024896503322808187
33162,6618,Australia,10514,0.3734341751403115
33249,6623,Australia,46526,0.7348055804126336
33311,6624,Australia,64672,0.37425940538067265
33406,6631,Australia,8460,0.2155713616004834
33464,6632,Australia,6304,0.1472648410347706
33521,6633,Australia,19678,0.1829625696202227
33604,6635,Australia,6264,0.1956294709942445
33661,6637,Australia,5026,0.22904426439794312
33709,6638,Australia,18528,0.9594010575041145
33764,6639,Australia,7624,0.1834556734285654
33864,6641,Australia,3494,0.12602177759984687
33913,6642,Australia,43378,0.5826854314004917
34013,6644,Australia,29506,0.4669897116379117
34072,6645,Australia,1640,0.18927052130566413
34122,6647,Australia,35642,0.3865897713197848
34186,6648,Australia,63894,1.4560980105022352
34247,6649,Australia,14636,0.09854291570983074
34352,6651,Australia,3292,0.047268187361462155
34441,6652,Australia,6256,0.06095237650080892
34517,6658,Australia,23578,0.4030952105465367
34601,6664,Australia,1678,0.03581660560561154
34665,6665,Australia,894,0.020014622510408208
34731,6666,Australia,1212,0.0256038484600406
34814,6671,Australia,765572,21.729741577310037
34862,6672,Australia,874832,0.7575120978176443
34956,6673,Australia,86930,1.9326228345245902
35034,6674,Australia,1440,0.1324766650338188
35126,6712,Australia,1418,0.0309863303974515
35172,6713,Australia,43498,1.2679664983980687
35227,6716,Australia,147698,0.8059458380745239
35326,6724,Australia,24206,1.8785711972406924
35382,6725,Australia,476108,1.6256159116748334
35459,6727,Australia,142278,0.41295150152735044
35558,6731,Australia,37474,0.31242431378550467
35634,6732,Australia,46296,0.17483417451872196
35726,6733,Australia,55138,0.36830613528089956
35840,6744,Australia,236556,1.001101090761716
35913,6745,Australia,16982,0.14894107982886018
35983,6746,Australia,83258,0.19340847640897468
36067,6747,Australia,207330,2.7861255542440277
36130,6749,Australia,439572,1.028589839576484
36244,6760,Australia,43856,1.731234513702672
36294,6770,Australia,50658,0.5394915767449388
36376,6781,Australia,16842,1.0570293211634498
36427,6782,Australia,16506,0.0999455346340717
36505,6783,Australia,67360,0.317031809522671
36594,6785,Australia,20422,0.160706883941482
36707,6793,Australia,115098,3.1418535074261276
36769,6794,Australia,24966,0.5291474471582791
36900,6811,Australia,136806,1.6258886422014127
36966,6812,Australia,18486,0.04599679364455477
